SeniorCitizen,Tenure,MonthlyCharges,Churn,TotalCharges,Gender_Male,Contract_One year,Contract_Two year,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,55,111.88,0,6153.4,True,False,True,False,False,True
1,36,58.7,0,2113.2,False,False,True,False,True,False
0,37,118.86,0,4397.82,True,True,False,False,True,False
1,14,96.14,1,1345.96,True,False,False,False,False,True
1,27,28.05,0,757.35,True,False,True,False,False,True
0,31,86.02,1,2666.62,False,False,False,False,False,True
1,44,47.08,0,2071.52,True,True,False,False,False,False
1,68,44.37,0,3017.16,True,False,True,False,True,False
0,48,45.66,0,2191.68,True,True,False,False,True,False
0,57,111.61,0,6361.77,False,False,True,True,False,False
0,22,70.0,0,1540.0,True,False,True,True,False,False
0,4,86.95,0,347.8,True,True,False,False,True,False
1,46,48.09,0,2212.14,True,True,False,False,True,False
0,59,72.3,1,4265.7,True,False,False,False,False,False
0,34,55.01,0,1870.34,False,True,False,True,False,False
0,11,52.11,0,573.21,True,True,False,False,False,True
0,31,44.7,0,1385.7,False,False,False,False,False,False
0,11,60.9,1,669.9,False,True,False,True,False,False
1,56,86.0,0,4816.0,False,False,False,False,False,True
0,38,42.2,0,1603.6,True,False,False,False,False,True
1,21,116.54,1,2447.34,False,True,False,False,True,False
0,10,32.46,1,324.6,True,False,False,False,True,False
0,26,68.02,0,1768.52,False,False,False,False,False,True
0,8,28.5,1,228.0,False,False,False,False,False,True
0,8,22.27,0,178.16,False,True,False,False,True,False
0,60,112.27,1,6736.2,False,True,False,False,True,False
0,34,101.04,0,3435.36,False,False,False,False,True,False
0,16,89.42,0,1430.72,False,True,False,False,True,False
0,13,106.52,1,1384.76,False,False,True,True,False,False
1,22,100.28,0,2206.16,False,False,False,False,True,False
0,27,84.72,0,2287.44,True,False,True,False,False,False
1,64,104.73,0,6702.72,True,True,False,False,False,False
0,2,59.08,0,118.16,False,False,True,False,False,False
1,26,75.28,0,1957.28,False,True,False,False,True,False
0,69,97.63,0,6736.47,False,True,False,False,False,True
0,30,28.48,1,854.4,True,False,False,False,False,True
0,8,105.86,0,846.88,False,False,True,True,False,False
1,38,35.68,1,1355.84,True,False,False,False,True,False
1,61,106.45,0,6493.45,True,False,True,False,False,False
1,65,51.13,0,3323.45,True,True,False,False,False,True
1,67,52.68,0,3529.56,True,True,False,False,True,False
0,46,27.39,1,1259.94,True,False,False,False,False,False
0,43,108.59,0,4669.37,False,False,True,False,False,False
0,59,37.45,0,2209.55,False,False,True,False,False,False
1,46,83.0,0,3818.0,False,True,False,False,False,False
0,35,84.4,1,2954.0,False,False,False,False,False,False
1,39,48.12,0,1876.68,False,True,False,True,False,False
1,51,118.57,0,6047.07,True,True,False,False,False,False
1,4,26.42,1,105.68,False,False,False,True,False,False
1,51,80.79,0,4120.29,False,False,True,False,False,False
1,5,67.95,1,339.75,True,False,True,False,False,False
0,55,44.55,1,2450.25,False,True,False,False,False,False
1,20,36.36,0,727.2,True,False,True,False,False,False
1,24,93.71,0,2249.04,False,False,False,True,False,False
0,36,111.63,0,4018.68,True,False,True,False,True,False
1,34,30.75,1,1045.5,False,False,True,False,False,True
1,54,39.4,0,2127.6,False,True,False,True,False,False
0,34,118.63,1,4033.42,True,False,True,True,False,False
0,17,21.5,0,365.5,True,False,False,True,False,False
0,5,70.83,0,354.15,True,True,False,False,True,False
1,18,71.61,0,1288.98,True,False,False,False,False,True
0,55,46.32,0,2547.6,True,False,True,False,True,False
0,53,86.3,0,4573.9,True,False,True,False,False,True
0,50,114.49,0,5724.5,True,True,False,False,False,True
1,45,65.02,0,2925.9,True,False,False,False,False,True
0,13,94.94,0,1234.22,False,False,True,False,True,False
1,16,84.61,0,1353.76,False,False,True,False,False,True
1,13,67.29,0,874.77,True,True,False,False,False,False
0,20,24.98,0,499.6,False,False,True,True,False,False
1,66,94.17,0,6215.22,False,False,True,False,False,True
1,47,56.33,1,2647.51,False,False,True,True,False,False
0,19,42.45,0,806.55,False,False,False,False,True,False
1,45,114.83,1,5167.35,True,False,False,False,True,False
0,37,97.35,0,3601.95,False,False,False,False,False,False
1,54,116.23,1,6276.42,True,False,True,False,False,True
1,6,45.62,0,273.72,False,True,False,True,False,False
0,14,103.58,0,1450.12,False,True,False,True,False,False
0,4,80.77,0,323.08,False,True,False,True,False,False
1,55,118.15,0,6498.25,True,False,False,False,True,False
1,34,114.63,0,3897.42,False,False,False,False,False,True
0,27,117.3,0,3167.1,True,False,False,False,False,False
1,7,115.18,0,806.26,False,False,False,False,False,False
1,3,20.77,0,62.31,True,False,True,False,True,False
1,47,94.11,0,4423.17,False,True,False,False,False,True
1,2,47.19,0,94.38,True,True,False,False,False,False
0,25,90.5,0,2262.5,True,False,False,False,False,False
0,60,118.06,0,7083.6,False,True,False,False,True,False
0,24,23.94,0,574.56,True,True,False,True,False,False
0,15,76.7,0,1150.5,False,False,False,False,False,False
0,14,93.5,0,1309.0,False,False,False,False,True,False
0,54,45.34,0,2448.36,False,False,False,False,False,False
1,6,42.51,0,255.06,False,False,False,False,False,False
0,18,26.03,0,468.54,False,False,True,False,True,False
1,20,29.39,1,587.8,False,True,False,False,True,False
1,62,85.67,1,5311.54,False,False,True,False,False,True
1,40,70.52,0,2820.8,False,True,False,False,False,False
0,39,23.01,0,897.39,False,False,True,True,False,False
1,52,116.97,0,6082.44,False,False,False,True,False,False
0,32,85.6,0,2739.2,False,False,True,False,False,True
1,27,71.55,0,1931.85,True,False,False,False,False,True
1,52,47.27,0,2458.04,True,False,False,False,True,False
0,63,85.81,0,5406.03,False,False,True,True,False,False
1,63,56.42,1,3554.46,False,True,False,False,False,False
1,17,90.25,1,1534.25,False,False,True,False,True,False
1,49,88.26,1,4324.74,False,False,False,False,False,False
1,23,29.27,0,673.21,False,False,False,True,False,False
0,13,110.93,1,1442.09,False,True,False,False,True,False
1,23,68.7,0,1580.1,False,True,False,False,False,False
1,57,59.29,0,3379.53,False,True,False,False,False,True
0,62,115.55,1,7164.1,True,False,False,False,False,False
1,54,63.82,1,3446.28,False,False,True,False,False,False
1,20,92.12,0,1842.4,True,True,False,False,True,False
1,52,85.51,0,4446.52,False,False,False,True,False,False
1,23,36.51,0,839.73,False,False,True,False,False,False
0,35,119.11,0,4168.85,True,True,False,False,False,False
1,67,66.36,1,4446.12,False,False,True,False,False,False
0,34,59.48,0,2022.32,True,False,True,False,False,False
1,33,111.96,0,3694.68,False,False,False,False,False,True
1,46,72.92,0,3354.32,False,False,False,True,False,False
1,45,90.51,0,4072.95,True,False,False,True,False,False
0,19,104.62,1,1987.78,False,False,True,False,True,False
1,15,43.55,0,653.25,True,True,False,False,False,False
1,66,36.95,0,2438.7,False,True,False,False,True,False
0,39,26.85,1,1047.15,True,True,False,False,False,True
0,18,109.71,0,1974.78,True,False,False,False,False,True
0,70,40.04,1,2802.8,False,True,False,False,False,False
0,59,50.78,1,2996.02,False,True,False,False,True,False
1,32,48.58,0,1554.56,True,False,False,False,True,False
1,21,50.46,0,1059.66,False,True,False,True,False,False
1,40,86.81,0,3472.4,False,True,False,False,True,False
1,27,115.41,0,3116.07,False,True,False,False,False,True
0,2,52.95,0,105.9,True,False,True,False,False,True
1,39,60.76,0,2369.64,True,False,True,False,False,False
1,56,97.11,0,5438.16,True,False,False,False,True,False
1,13,63.23,0,821.99,True,False,False,False,True,False
1,56,112.6,0,6305.6,True,False,True,False,False,True
0,66,70.32,0,4641.12,True,False,False,False,False,False
1,56,54.77,0,3067.12,True,False,False,True,False,False
1,28,117.16,0,3280.48,True,True,False,True,False,False
1,64,62.58,0,4005.12,True,False,False,False,False,False
0,71,43.12,1,3061.52,False,False,False,False,False,False
0,64,37.77,0,2417.28,True,True,False,True,False,False
1,56,119.52,1,6693.12,False,True,False,False,False,True
1,41,95.3,0,3907.3,False,False,True,False,True,False
1,41,60.87,0,2495.67,False,False,False,True,False,False
0,4,102.64,1,410.56,True,True,False,False,False,False
1,57,74.68,0,4256.76,True,False,False,False,False,False
1,30,51.74,0,1552.2,True,False,False,False,True,False
1,46,94.34,0,4339.64,True,False,True,False,False,False
0,56,94.59,0,5297.04,False,False,True,False,False,True
1,31,70.02,0,2170.62,True,False,True,False,False,False
1,7,24.52,0,171.64,True,False,True,False,True,False
0,54,27.7,0,1495.8,True,False,True,True,False,False
0,8,98.87,1,790.96,True,True,False,False,False,True
1,55,102.35,1,5629.25,True,False,True,False,False,False
0,69,87.83,0,6060.27,False,True,False,False,True,False
1,44,103.91,1,4572.04,True,False,True,True,False,False
0,13,91.95,0,1195.35,False,True,False,True,False,False
0,20,109.69,0,2193.8,True,False,False,False,True,False
1,32,35.04,1,1121.28,False,False,True,True,False,False
1,60,58.77,0,3526.2,True,True,False,True,False,False
1,50,66.41,0,3320.5,True,False,True,True,False,False
0,27,49.77,0,1343.79,False,True,False,True,False,False
1,25,92.54,0,2313.5,False,True,False,False,True,False
1,52,111.24,0,5784.48,False,False,True,False,True,False
1,68,61.25,1,4165.0,True,True,False,False,False,False
1,21,114.15,0,2397.15,False,False,False,False,False,False
1,18,71.68,0,1290.24,True,False,True,False,False,True
0,39,72.25,0,2817.75,True,False,False,True,False,False
1,15,80.02,1,1200.3,False,True,False,True,False,False
1,53,46.83,0,2481.99,False,True,False,False,False,True
0,38,58.34,0,2216.92,True,False,True,False,True,False
1,48,75.32,1,3615.36,True,False,False,False,True,False
1,52,114.2,0,5938.4,False,False,False,False,False,True
1,28,84.27,0,2359.56,False,False,True,False,False,False
1,16,53.31,0,852.96,False,False,False,False,False,False
1,16,21.05,0,336.8,True,False,True,True,False,False
0,35,118.17,0,4135.95,True,False,True,False,False,False
0,17,69.3,0,1178.1,True,True,False,False,True,False
0,52,113.85,0,5920.2,True,True,False,False,False,True
1,12,74.93,1,899.16,True,False,False,False,False,True
0,48,80.55,0,3866.4,True,False,True,False,False,True
1,22,91.19,0,2006.18,False,False,True,False,False,False
1,49,52.1,1,2552.9,True,False,True,False,False,True
1,52,89.9,0,4674.8,True,False,True,False,False,True
0,1,72.68,0,72.68,True,True,False,False,False,False
0,66,87.25,0,5758.5,False,False,False,False,True,False
0,64,103.58,0,6629.12,True,True,False,True,False,False
1,8,38.42,0,307.36,True,False,True,False,True,False
0,25,81.36,0,2034.0,False,False,False,False,False,False
1,66,25.21,1,1663.86,True,False,False,False,False,True
0,70,30.21,0,2114.7,True,False,True,True,False,False
0,51,87.46,0,4460.46,True,False,True,False,True,False
1,53,27.09,0,1435.77,True,True,False,True,False,False
1,15,79.54,1,1193.1,True,True,False,False,True,False
0,50,42.0,0,2100.0,False,False,True,False,True,False
0,71,50.41,1,3579.11,False,False,True,False,False,False
0,38,32.96,0,1252.48,False,True,False,False,True,False
1,40,44.87,0,1794.8,True,False,False,False,False,True
1,66,102.13,0,6740.58,True,False,False,False,False,False
0,39,83.89,0,3271.71,True,False,False,True,False,False
0,17,114.98,0,1954.66,False,True,False,False,False,False
1,7,24.87,0,174.09,True,False,True,False,True,False
0,39,99.24,1,3870.36,True,False,False,True,False,False
1,68,89.91,1,6113.88,False,False,True,False,False,True
1,35,46.09,0,1613.15,True,True,False,False,False,False
1,51,92.92,1,4738.92,False,True,False,False,True,False
1,47,91.65,0,4307.55,False,False,True,True,False,False
1,36,65.93,0,2373.48,False,False,True,False,False,True
1,64,88.86,0,5687.04,True,False,True,False,False,True
0,13,64.46,0,837.98,True,False,True,False,False,False
1,18,53.55,0,963.9,True,False,False,True,False,False
1,21,66.65,0,1399.65,True,False,True,False,True,False
0,65,109.51,1,7118.15,True,False,False,True,False,False
1,8,58.46,0,467.68,True,True,False,False,False,True
0,48,60.37,1,2897.76,True,False,False,True,False,False
1,43,80.84,0,3476.12,False,False,True,False,False,False
0,53,95.3,0,5050.9,True,False,False,True,False,False
0,27,93.46,1,2523.42,False,True,False,True,False,False
1,19,21.98,0,417.62,True,False,True,False,False,False
1,23,88.74,1,2041.02,True,True,False,True,False,False
1,50,65.06,0,3253.0,True,True,False,False,False,False
1,51,72.41,1,3692.91,False,False,True,False,False,False
0,43,76.17,0,3275.31,False,False,False,False,False,False
0,51,93.17,0,4751.67,False,True,False,False,False,True
0,69,103.13,0,7115.97,False,False,True,True,False,False
1,41,84.63,1,3469.83,True,True,False,False,False,False
0,11,76.39,0,840.29,False,False,False,False,True,False
1,52,57.38,1,2983.76,True,True,False,False,True,False
1,23,33.79,0,777.17,True,True,False,False,False,True
0,49,115.86,0,5677.14,False,True,False,False,False,False
1,38,66.18,0,2514.84,False,True,False,False,False,False
0,47,76.62,0,3601.14,False,False,False,False,False,True
1,7,95.11,0,665.77,False,False,True,True,False,False
0,66,26.84,0,1771.44,False,True,False,False,False,False
1,62,105.5,1,6541.0,False,False,False,False,False,False
0,29,99.7,0,2891.3,False,True,False,False,True,False
0,38,97.44,0,3702.72,False,True,False,False,False,False
1,33,22.2,0,732.6,True,True,False,False,False,True
1,29,72.65,1,2106.85,False,False,False,False,True,False
0,23,25.43,0,584.89,False,True,False,False,False,True
1,3,75.09,0,225.27,True,True,False,False,False,True
1,45,91.84,0,4132.8,False,False,True,False,False,False
1,8,32.19,1,257.52,True,False,False,True,False,False
0,29,89.49,1,2595.21,True,False,True,False,False,False
0,2,64.95,1,129.9,False,False,True,True,False,False
1,50,101.16,1,5058.0,True,False,True,False,True,False
1,65,73.36,0,4768.4,True,False,True,False,False,True
0,20,53.61,0,1072.2,True,True,False,False,False,True
1,52,53.2,0,2766.4,True,False,True,False,False,False
0,37,109.75,0,4060.75,False,False,False,True,False,False
1,27,65.29,0,1762.83,True,True,False,False,False,True
1,47,60.58,0,2847.26,False,False,True,False,False,True
1,6,23.99,0,143.94,True,False,True,True,False,False
0,60,56.43,0,3385.8,True,False,False,False,False,True
0,45,104.96,0,4723.2,True,False,False,False,False,True
0,44,96.1,0,4228.4,True,False,True,False,False,True
0,18,42.09,1,757.62,False,False,True,True,False,False
1,65,61.31,0,3985.15,False,False,True,True,False,False
1,25,39.66,1,991.5,True,False,True,False,True,False
0,27,115.42,0,3116.34,True,False,True,False,False,True
1,7,79.81,0,558.67,False,False,False,False,False,True
1,44,95.44,0,4199.36,True,False,False,False,True,False
0,29,91.38,0,2650.02,True,True,False,True,False,False
1,44,107.37,1,4724.28,True,True,False,True,False,False
1,36,114.93,0,4137.48,False,False,False,False,False,False
0,19,23.24,1,441.56,False,True,False,True,False,False
1,6,117.53,0,705.18,False,False,True,False,False,False
1,25,107.05,0,2676.25,True,True,False,False,True,False
1,31,58.29,0,1806.99,True,False,True,True,False,False
0,9,103.71,0,933.39,False,False,True,False,True,False
0,37,93.66,0,3465.42,False,True,False,False,False,False
1,27,99.31,0,2681.37,False,True,False,False,False,True
1,13,42.07,1,546.91,False,False,True,False,False,True
1,41,84.86,0,3479.26,True,False,False,False,True,False
0,66,22.59,0,1490.94,False,True,False,False,False,True
0,24,104.82,1,2515.68,True,True,False,False,True,False
0,44,115.1,0,5064.4,False,False,False,False,False,False
1,60,86.21,0,5172.6,True,True,False,False,False,True
1,9,71.27,0,641.43,False,False,True,False,False,False
1,2,92.57,1,185.14,False,False,False,True,False,False
1,56,52.64,0,2947.84,False,False,False,False,False,True
1,30,82.64,0,2479.2,False,False,True,False,False,True
0,22,91.9,1,2021.8,True,False,True,False,False,True
1,13,34.27,1,445.51,False,False,True,False,True,False
1,71,34.01,0,2414.71,True,False,False,True,False,False
1,16,91.61,1,1465.76,True,False,True,True,False,False
0,45,63.18,1,2843.1,True,True,False,True,False,False
1,65,108.92,0,7079.8,True,True,False,False,False,False
0,11,51.19,0,563.09,False,False,True,True,False,False
0,70,24.24,0,1696.8,True,True,False,False,True,False
0,20,84.99,0,1699.8,True,True,False,False,True,False
0,63,88.42,0,5570.46,True,False,False,False,False,False
0,12,75.36,0,904.32,False,False,True,False,False,False
1,62,88.33,1,5476.46,False,True,False,True,False,False
1,42,72.38,0,3039.96,False,False,True,True,False,False
0,69,89.26,0,6158.94,False,False,True,False,True,False
0,58,24.39,0,1414.62,True,True,False,False,True,False
0,5,56.84,0,284.2,True,True,False,True,False,False
1,27,41.08,1,1109.16,False,False,False,False,True,False
1,28,29.93,0,838.04,True,False,False,False,False,False
0,26,43.41,0,1128.66,True,False,False,False,True,False
1,49,39.13,1,1917.37,True,True,False,True,False,False
1,21,117.31,0,2463.51,False,False,False,False,False,False
0,1,48.65,0,48.65,False,False,True,False,True,False
0,58,43.1,0,2499.8,True,False,False,False,False,False
1,55,103.49,0,5691.95,False,False,False,True,False,False
1,26,61.91,0,1609.66,False,False,False,False,True,False
1,25,62.15,0,1553.75,False,False,True,True,False,False
0,33,64.36,0,2123.88,False,False,True,False,False,True
